[09/23/16 23:19:03] [INFO] received Windows console close event; shutting log-core down
[09/23/16 23:27:08] [INFO] received Windows console close event; shutting log-core down
[09/24/16 00:01:20] [INFO] received Windows console close event; shutting log-core down
[09/24/16 02:55:14] [INFO] received Windows console close event; shutting log-core down
[09/24/16 15:25:36] [INFO] received Windows console close event; shutting log-core down
[09/24/16 15:47:48] [INFO] received Windows console close event; shutting log-core down
[09/24/16 19:56:43] [INFO] received Windows console close event; shutting log-core down
[09/26/16 23:33:35] [INFO] received Windows console close event; shutting log-core down
[09/26/16 23:37:07] [INFO] received Windows console close event; shutting log-core down
[09/26/16 23:39:04] [INFO] received Windows console close event; shutting log-core down
[09/26/16 23:52:30] [INFO] received Windows console close event; shutting log-core down
[09/26/16 23:56:46] [INFO] received Windows console close event; shutting log-core down
[09/27/16 00:01:21] [INFO] received Windows console close event; shutting log-core down
[09/27/16 02:16:17] [INFO] received Windows console close event; shutting log-core down
[09/30/16 19:50:19] [INFO] received Windows console close event; shutting log-core down
[09/30/16 19:55:19] [INFO] received Windows console close event; shutting log-core down
[09/30/16 19:56:44] [INFO] received Windows console close event; shutting log-core down
[09/30/16 20:05:06] [INFO] received Windows console close event; shutting log-core down
[09/30/16 20:06:26] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[09/30/16 20:07:13] [INFO] received Windows console close event; shutting log-core down
[09/30/16 20:08:49] [INFO] received Windows console close event; shutting log-core down
[09/30/16 21:32:51] [INFO] received Windows console close event; shutting log-core down
[09/30/16 22:02:03] [INFO] received Windows console close event; shutting log-core down
[10/01/16 04:23:48] [INFO] received Windows console close event; shutting log-core down
[10/01/16 12:03:32] [INFO] received Windows console close event; shutting log-core down
[10/01/16 14:00:13] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10/01/16 14:03:23] [INFO] received Windows console close event; shutting log-core down
[10/01/16 17:17:04] [INFO] received Windows console close event; shutting log-core down
[10/01/16 17:35:20] [INFO] received Windows console close event; shutting log-core down
[10/02/16 19:46:19] [INFO] received Windows console close event; shutting log-core down
[10/05/16 20:33:59] [INFO] received Windows console close event; shutting log-core down
[10/05/16 22:28:12] [INFO] received Windows console close event; shutting log-core down
[10/11/16 21:14:53] [INFO] received Windows console close event; shutting log-core down
[10/19/16 19:28:28] [INFO] received Windows console close event; shutting log-core down
[11/07/16 09:12:19] [INFO] received Windows console close event; shutting log-core down
